6.507 5 GPS_INT 485068701 -31588952 411661178 404502032 -37259908 706258 656022 186 -16 -182 475 74 466369500 161 13 3 1
6.507 5 SVINFO 15 66 13 4 23 35 73
6.508 7 IMU_MAG_RAW 259 -635 419
6.508 7 IMU_MAG_RAW 259 -635 410
6.508 7 IMU_MAG_RAW 265 -635 410
6.508 5 INS 1528 -2283 90584576 -1363147 -20971 277704832 -3257 -1824 5912
6.509 5 DL_VALUE 39 0.
6.509 7 IMU_MAG_RAW 258 -634 407
6.566 7 GPS_INT 485068835 -31588399 411661253 404502026 -37259248 707489 657253 -2 5 -9 551 48 466369500 192 8 3 1
6.566 7 IMU_MAG_RAW 264 -628 414
6.566 7 IMU_MAG_RAW 264 -630 412
6.567 7 IMU_MAG_RAW 263 -635 412
6.567 7 INS 1162 -496 452744736 -31457 20971 1076855936 -8 -5 1101
6.567 7 IMU_MAG_RAW 261 -629 419
6.567 7 IMU_MAG_RAW 259 -634 415
6.568 7 IMU_MAG_RAW 257 -630 417
6.568 7 IMU_MAG_RAW 263 -632 417
6.581 7 IMU_MAG_RAW 258 -629 410
6.640 5 ROTORCRAFT_FP -2283 1528 -90591352 -20971 -1363147 -277781664 -12522 -139 -11464 0 0 0 0 2700 0
6.641 7 ROTORCRAFT_FP -496 1162 -452770976 20971 -31457 -1076883712 -12837 993 10811 0 0 0 0 0 0
6.642 7 IMU_MAG_RAW 258 -630 413
6.642 7 IMU_MAG_RAW 258 -630 413
6.642 7 IMU_MAG_RAW 263 -628 414
6.642 7 IMU_MAG_RAW 259 -632 412
6.643 7 IMU_MAG_RAW 265 -637 414
6.643 5 CIRCLE -9.597656 4.289062 5.
6.643 7 IMU_MAG_RAW 264 -637 410
6.643 7 IMU_MAG_RAW 261 -631 413
6.656 7 IMU_MAG_RAW 263 -635 413
6.672 7 IMU_MAG_RAW 260 -632 413
6.672 7 IMU_MAG_RAW 258 -629 412
6.702 7 IMU_MAG_RAW 258 -629 412
6.702 7 IMU_MAG_RAW 260 -633 412
6.702 7 IMU_MAG_RAW 260 -631 414
6.702 7 IMU_MAG_RAW 260 -631 414
6.750 5 GPS_INT 485068738 -31588948 411661132 404501979 -37259901 706244 656007 171 40 -158 474 69 466369750 161 13 3 1
6.751 5 SVINFO 16 67 13 6 35 26 134
6.751 7 IMU_MAG_RAW 258 -630 414
6.751 7 IMU_MAG_RAW 261 -630 410
6.752 7 IMU_MAG_RAW 259 -635 410
6.752 5 INS 1377 -2265 90618448 -1205861 267386 277742112 589 -568 8886
6.752 7 IMU_MAG_RAW 264 -637 413
6.822 7 GPS_INT 485068842 -31588398 411661255 404502023 -37259246 707549 657313 -3 -3 1 552 67 466369750 192 8 3 1
6.823 7 SVINFO 15 66 12 4 26 35 73
6.823 7 IMU_MAG_RAW 266 -636 412
6.823 7 IMU_MAG_RAW 265 -635 410
6.824 7 IMU_MAG_RAW 258 -629 415
6.824 7 WP_MOVED_ENU 5 519 -1021 2560
6.824 5 ROTORCRAFT_FP -2265 1377 -90625224 267386 -1205861 -277655872 -12583 -52 -11672 0 0 0 0 2700 0
6.825 7 INS 1154 -491 452875936 10485 -20971 1076996352 -6 16 1118
6.825 7 IMU_MAG_RAW 260 -635 413
6.825 7 IMU_MAG_RAW 260 -636 415
6.838 7 IMU_MAG_RAW 254 -634 412
6.922 7 IMU_MAG_RAW 254 -634 412
6.923 5 STATE_FILTER_STATUS 6 3 0
6.923 7 IMU_MAG_RAW 255 -637 416
6.924 7 ROTORCRAFT_FP -491 1154 -452902176 -20971 10485 -1077025024 -12836 993 10805 0 0 0 0 0 0
6.924 7 IMU_MAG_RAW 263 -641 410
6.924 7 IMU_MAG_RAW 260 -630 410
6.925 7 IMU_MAG_RAW 264 -626 408
6.925 7 IMU_MAG_RAW 258 -636 412
6.925 5 CIRCLE -9.597656 4.289062 5.
6.925 7 IMU_MAG_RAW 261 -636 414
6.925 7 IMU_MAG_RAW 258 -637 415
6.925 7 IMU_MAG_RAW 257 -634 412
6.926 7 IMU_MAG_RAW 258 -634 413
6.926 7 IMU_MAG_RAW 258 -628 415
6.926 7 IMU_MAG_RAW 258 -628 415
6.939 7 IMU_MAG_RAW 257 -636 412
6.939 7 IMU_MAG_RAW 261 -634 417
6.953 7 LINK_REPORT 7 -1 7 0 20668 718 0 3527. 123. 6 90.4
6.954 5 LINK_REPORT 5 -1 7 0 6122 142 0 1121. 27. 6 90.29
7.049 7 INS_REF 485068846 -31588206 411660654 404501617 -37259020 703597 653361 0.
7.050 7 IMU_MAG_RAW 261 -636 416
7.050 7 IMU_MAG_RAW 265 -631 417
7.050 5 SVINFO 17 73 13 4 23 23 322
7.051 7 IMU_MAG_RAW 263 -624 415
7.051 5 INS 1216 -2206 90652336 -1284504 644873 277638144 169 1393 -10553
7.051 7 ENERGY 0 7.709397 0.375 2.891024 0.988185 7.800221
7.052 7 IMU_MAG_RAW 264 -635 417
7.052 7 IMU_MAG_RAW 264 -636 412
7.052 7 GPS_INT 485068844 -31588396 411661256 404502023 -37259243 707571 657335 -6 -9 1 553 63 466370000 192 8 3 1
7.053 7 SVINFO 16 67 12 4 25 26 134
7.053 7 IMU_MAG_RAW 261 -630 413
7.053 7 IMU_MAG_RAW 255 -631 413
7.053 7 IMU_MAG_RAW 260 -632 412
7.053 5 WP_MOVED_ENU 9 -775 1018 2560
7.053 7 INS 1154 -486 453007136 20971 -52428 1077137664 -13 -20 1070
7.075 7 IMU_MAG_RAW 260 -632 412
7.076 5 ROTORCRAFT_FP -2206 1216 -90659120 644873 -1284504 -277649824 -12470 23 12829 0 0 0 0 2700 0
7.145 7 IMU_MAG_RAW 263 -635 415
7.145 7 IMU_MAG_RAW 263 -635 412
7.145 7 IMU_MAG_RAW 258 -634 419
7.146 7 IMU_MAG_RAW 257 -639 419
7.146 7 ROTORCRAFT_FP -486 1154 -453033376 -52428 20971 -1077165696 -12836 993 10808 0 0 0 0 0 0
7.147 7 IMU_MAG_RAW 258 -637 415
7.147 7 IMU_MAG_RAW 255 -633 412
7.147 7 IMU_MAG_RAW 258 -636 409
7.148 7 IMU_MAG_RAW 264 -631 413
7.148 7 IMU_MAG_RAW 261 -636 414
7.148 5 IMU_MAG_RAW 0 0 0
7.148 7 IMU_MAG_RAW 261 -639 413
7.148 7 IMU_MAG_RAW 261 -639 413
7.161 7 IMU_MAG_RAW 260 -634 418
7.161 7 IMU_MAG_RAW 260 -630 418
7.193 5 CIRCLE -9.597656 4.289062 5.
7.193 7 IMU_MAG_RAW 258 -635 412
7.193 7 IMU_MAG_RAW 260 -632 407
7.193 7 IMU_MAG_RAW 258 -632 417
7.252 7 IMU_MAG_RAW 263 -630 418
7.253 5 GPS_INT 485068870 -31588900 411661057 404501852 -37259834 706732 656495 191 132 -182 470 67 466370250 161 13 3 1
7.254 5 SVINFO 18 79 13 4 25 19 202
7.254 7 IMU_MAG_RAW 263 -630 416
7.254 7 IMU_MAG_RAW 258 -635 410
7.254 5 LIDAR 0. 144 1
7.255 7 IMU_MAG_RAW 255 -633 413
7.255 5 INS 1018 -2122 90686208 -1347418 754974 277600992 1209 -7965 -11463
7.255 7 ROVER_STATUS 2 0 3 4 0 1812 7.709397
7.255 7 IMU_MAG_RAW 254 -632 418
7.312 7 GPS_INT 485068847 -31588396 411661257 404502022 -37259243 707602 657366 -8 -3 6 556 78 466370250 260 7 3 1
7.313 7 SVINFO 17 73 4 6 27 23 322
7.313 7 IMU_MAG_RAW 254 -632 418
7.313 7 IMU_MAG_RAW 260 -630 415
7.313 7 IMU_MAG_RAW 263 -631 410
7.313 7 INS 1152 -486 453138432 47185 -20971 1077278464 -4 -13 1116
7.314 5 ROTORCRAFT_FP -2122 1018 -90692976 754974 -1347418 -277603904 -12535 -61 12691 0 0 0 0 2700 0
7.315 5 ROVER_STATUS 0 61 3 0 0 598 7.409146
7.343 7 IMU_MAG_RAW 255 -626 413
7.344 7 IMU_MAG_RAW 259 -635 415
7.423 7 IMU_MAG_RAW 264 -631 412
7.424 7 IMU_MAG_RAW 260 -633 410
7.424 7 IMU_MAG_RAW 264 -635 417
7.424 7 ROTORCRAFT_FP -486 1152 -453164704 -20971 47185 -1077306880 -12837 994 10815 0 0 0 0 0 0
7.425 7 IMU_MAG_RAW 263 -631 416
7.425 7 IMU_MAG_RAW 259 -633 410
7.425 7 IMU_MAG_RAW 258 -632 415
7.426 5 CIRCLE -9.597656 4.289062 5.
7.426 7 IMU_MAG_RAW 258 -632 415
7.426 7 IMU_MAG_RAW 264 -634 417
7.426 7 IMU_MAG_RAW 263 -637 412
7.426 7 IMU_MAG_RAW 259 -638 412
7.426 7 IMU_MAG_RAW 259 -633 408
7.427 7 IMU_MAG_RAW 263 -633 412
7.427 7 IMU_MAG_RAW 259 -637 419
7.439 7 IMU_MAG_RAW 260 -634 414
7.439 7 IMU_MAG_RAW 261 -633 416
7.504 5 GPS_INT 485068922 -31588869 411661014 404501794 -37259793 706835 656598 170 154 -169 470 68 466370500 161 13 3 1
7.504 7 IMU_MAG_RAW 261 -636 413
7.504 7 IMU_MAG_RAW 258 -633 412
7.505 7 IMU_MAG_RAW 258 -633 412
7.505 7 IMU_MAG_RAW 257 -637 410
7.505 5 INS 852 -2035 90720040 -1221589 859831 277538688 1275 342 1717
7.506 7 IMU_MAG_RAW 265 -630 418
7.591 7 GPS_INT 485068850 -31588396 411661258 404502021 -37259243 707635 657398 -8 -8 2 559 69 466370500 260 7 3 1
7.592 7 SVINFO 18 79 12 4 19 19 202
7.592 7 IMU_MAG_RAW 265 -634 418
7.592 7 IMU_MAG_RAW 259 -625 418
7.592 7 IMU_MAG_RAW 261 -633 418
7.593 5 ROTORCRAFT_FP -2035 852 -90726808 859831 -1221589 -277569824 -12550 -71 12599 0 0 0 0 1356 0
7.593 7 INS 1149 -486 453269728 31457 -47185 1077420160 -7 11 1093
7.594 7 IMU_MAG_RAW 258 -631 414
7.594 7 DL_VALUE 12 0.
7.594 7 IMU_MAG_RAW 266 -632 410
7.594 7 IMU_MAG_RAW 259 -633 413
7.594 7 IMU_MAG_RAW 266 -631 412
7.594 7 IMU_MAG_RAW 263 -633 412
7.595 5 DL_VALUE 40 0.
7.660 7 ROTORCRAFT_FP -486 1149 -453296032 -47185 31457 -1077448192 -12836 994 10820 0 0 0 0 0 0
7.660 7 IMU_MAG_RAW 260 -632 418
7.661 7 IMU_MAG_RAW 260 -632 418
7.661 7 ROTORCRAFT_NAV_STATUS 1272 1272 0. 0. 4 0 2
7.661 7 IMU_MAG_RAW 263 -632 421
7.661 7 IMU_MAG_RAW 265 -634 412
7.661 7 IMU_MAG_RAW 261 -634 412
7.662 5 CIRCLE -9.597656 4.289062 5.
7.662 7 ALIVE 238,196,27,210,197,195,123,118,227,219,142,111,10,81,8,53
7.662 7 IMU_MAG_RAW 260 -634 413
7.663 7 IMU_MAG_RAW 260 -634 412
7.663 5 ROTORCRAFT_NAV_STATUS 341 341 0. 0. 4 0 2
7.663 7 IMU_MAG_RAW 260 -633 412
7.663 7 IMU_MAG_RAW 260 -630 413
7.676 7 IMU_MAG_RAW 258 -634 412
7.676 7 IMU_MAG_RAW 258 -634 412
7.692 7 IMU_MAG_RAW 263 -635 417
7.692 7 IMU_MAG_RAW 258 -630 416
7.723 7 IMU_MAG_RAW 258 -630 416
7.724 5 GPS_INT 485068962 -31588830 411660966 404501739 -37259745 706801 656564 183 141 -168 471 71 466370750 161 13 3 1
7.724 5 SVINFO 20 81 13 6 30 37 54
7.738 5 INS 696 -1927 90753856 -1263532 796917 277606496 -1317 -3347 6468
7.808 7 IMU_MAG_RAW 261 -634 412
7.809 7 IMU_MAG_RAW 263 -637 414
7.809 7 IMU_MAG_RAW 255 -634 410
7.809 7 IMU_MAG_RAW 260 -633 410
7.809 7 GPS_INT 485068856 -31588396 411661259 404502018 -37259243 707681 657445 -6 -6 4 562 70 466370750 260 7 3 1
7.810 7 IMU_MAG_RAW 259 -630 418
7.810 7 IMU_MAG_RAW 263 -633 414
7.810 7 IMU_MAG_RAW 261 -636 415
7.811 5 ROTORCRAFT_FP -1927 696 -90760616 796917 -1263532 -277426784 -12472 -56 12470 0 0 0 0 1356 0
7.916 7 INS 1139 -483 453401120 31457 -36700 1077560448 -4 3 1085
7.916 7 IMU_MAG_RAW 263 -629 412
7.916 7 IMU_MAG_RAW 259 -634 416
7.917 7 IMU_MAG_RAW 258 -636 414
7.917 7 IMU_MAG_RAW 258 -636 414
7.917 7 IMU_MAG_RAW 260 -632 412
7.918 7 ROTORCRAFT_FP -483 1139 -453427392 -36700 31457 -1077588608 -12836 994 10819 0 0 0 0 0 0
7.918 7 IMU_MAG_RAW 257 -638 412
7.919 7 IMU_MAG_RAW 260 -633 410
7.919 7 IMU_MAG_RAW 258 -631 418
7.919 7 IMU_MAG_RAW 258 -627 419
7.919 7 IMU_MAG_RAW 260 -631 412
7.919 7 IMU_MAG_RAW 260 -633 412
7.920 5 CIRCLE -9.597656 4.289062 5.
7.920 7 IMU_MAG_RAW 266 -633 412
7.920 7 IMU_MAG_RAW 267 -632 415
7.954 7 LINK_REPORT 7 -1 8 0 24095 836 0 3427. 118. 10 90.4
7.954 5 LINK_REPORT 5 -1 8 0 7115 166 0 993. 24. 10 90.29
8.020 7 IMU_MAG_RAW 260 -634 413
8.020 7 IMU_MAG_RAW 260 -634 413
8.020 7 IMU_MAG_RAW 264 -631 415
8.020 7 IMU_MAG_RAW 258 -633 416
8.021 7 IMU_MAG_RAW 258 -636 413
8.021 7 IMU_MAG_RAW 257 -638 417
8.022 5 GPS_INT 485069003 -31588793 411660925 404501688 -37259698 706833 656597 144 142 -159 470 65 466371000 161 13 3 1
8.022 5 SVINFO 21 82 13 5 26 56 338
8.023 7 DATALINK_REPORT 0 5762 28522 3448 1 0
8.023 7 IMU_MAG_RAW 260 -636 421
8.023 7 IMU_MAG_RAW 261 -638 421
8.023 5 INS 552 -1825 90787672 -1095760 791674 277494976 -1077 3778 -3169
8.024 7 IMU_MAG_RAW 258 -637 413
8.024 7 GPS_INT 485068862 -31588397 411661261 404502016 -37259243 707745 657509 3 -7 3 566 56 466371000 260 7 3 1
8.025 7 SVINFO 20 81 12 4 14 37 54
8.090 7 IMU_MAG_RAW 260 -633 412
8.090 7 IMU_MAG_RAW 261 -633 412
8.090 7 IMU_MAG_RAW 263 -631 413
8.091 5 ROTORCRAFT_FP -1825 552 -90794440 791674 -1095760 -277428608 -12523 167 10601 0 0 0 0 1356 0
8.092 7 INS 1134 -486 453532480 0 -36700 1077701504 -12 -9 1090
8.092 7 IMU_MAG_RAW 263 -631 413
8.092 7 IMU_MAG_RAW 258 -633 415
8.093 7 IMU_MAG_RAW 263 -633 421
8.093 7 IMU_MAG_RAW 260 -634 413
