5.412 7 IMU_MAG_RAW 250 -546 245
5.412 7 IMU_MAG_RAW 257 -544 243
5.425 7 IMU_MAG_RAW 259 -539 243
5.425 7 IMU_MAG_RAW 258 -541 241
5.441 5 IMU_MAG_RAW 0 0 0
5.441 7 IMU_MAG_RAW 255 -545 243
5.457 7 IMU_MAG_RAW 255 -545 243
5.457 7 IMU_MAG_RAW 254 -544 241
5.473 7 IMU_MAG_RAW 258 -552 246
5.503 7 IMU_MAG_RAW 258 -552 247
5.503 7 IMU_MAG_RAW 258 -544 241
5.504 7 PONG 
5.504 5 PONG 
5.504 7 IMU_MAG_RAW 258 -547 243
5.547 7 IMU_MAG_RAW 252 -542 245
5.548 5 GPS_INT 637813700 0 0 0 0 0 -17000 0 0 0 649519168 4943 85750 9999 0 0 1
5.548 5 SVINFO 0 255 0 1 0 -91 0
5.549 5 LIDAR 5.17 208 1
5.549 5 INS 0 0 0 0 0 0 -2 -29 -596
5.638 7 GPS_INT 637813700 0 0 0 0 0 -17000 0 0 0 649519232 5196 96000 9999 0 0 1
5.639 7 SVINFO 0 11 16 1 0 -91 0
5.639 7 IMU_MAG_RAW 253 -544 241
5.639 7 IMU_MAG_RAW 254 -546 241
5.639 7 IMU_MAG_RAW 253 -547 238
5.640 7 INS 0 0 0 0 0 0 -10 -17 1055
5.640 7 IMU_MAG_RAW 253 -545 241
5.640 7 IMU_MAG_RAW 253 -545 241
5.641 5 ROTORCRAFT_FP 0 0 0 0 0 0 -12760 73 7949 0 0 0 0 0 0
5.642 7 IMU_MAG_RAW 258 -538 243
5.643 7 IMU_MAG_RAW 261 -539 246
5.643 7 IMU_MAG_RAW 257 -546 241
5.643 7 ROTORCRAFT_FP 0 0 0 0 0 0 -12790 1023 447 0 0 0 0 396 0
5.686 7 IMU_MAG_RAW 263 -547 241
5.686 7 IMU_MAG_RAW 254 -544 242
5.687 7 IMU_MAG_RAW 258 -540 236
5.687 7 IMU_MAG_RAW 255 -543 246
5.687 7 IMU_MAG_RAW 260 -539 247
5.687 7 IMU_MAG_RAW 255 -543 242
5.687 7 IMU_MAG_RAW 254 -542 250
5.687 7 IMU_MAG_RAW 254 -542 250
5.688 7 IMU_MAG_RAW 258 -546 243
5.688 7 IMU_MAG_RAW 254 -544 245
5.702 7 IMU_MAG_RAW 254 -546 243
